,Sample ID,Sampling month average,Sampling month,SRTd,COD,NH4N,TP,Proteobacteria,Bacteroidota,Patescibacteria,Unclassified,Firmicutes,Planctomycetota,Verrucomicrobiota,Chloroflexi,Myxococcota,Others,Bdellovibrionota,Actinobacteriota,Acidobacteriota,Desulfobacterota,Dependentiae,Cyanobacteria,Spirochaetota,Nanoarchaeota,Elusimicrobiota,SAR324 clade(Marine group B),Armatimonadota
11,SASC6,18.0,55.0,25.0,969.0,89.1,15.1,26.187500000000004,31.01953125,4.2890625,3.125,1.57421875,5.66796875,2.94140625,3.6015625000000004,3.25,5.69921875,1.0859375,0.77734375,6.14453125,0.44140624999999994,0.28125,0.39453125,0.3984375,0.16015625,0.8984374999999999,1.3046875,0.7578125
12,SAKB1,18.0,70.0,28.0,697.0,18.69,3.87,25.703125,43.80078125,4.40625,0.5703125,1.22265625,1.328125,2.953125,6.19921875,0.71875,4.91015625,0.85546875,0.7421875,3.8867187499999996,0.82421875,0.140625,0.11328124999999999,0.2890625,0.08203125,0.30078125,0.41796875,0.53515625
13,SAKB2,18.0,70.0,28.0,697.0,18.69,3.87,27.39453125,43.67578125,4.109375,0.51171875,1.0625,1.24609375,2.703125,5.4296875,0.8007812499999999,4.890625,0.8906249999999999,0.62890625,4.109375,0.81640625,0.140625,0.12109375,0.2734375,0.05078125,0.22656249999999997,0.34765625,0.5703125
14,SAKB3,18.0,70.0,28.0,697.0,18.69,3.87,26.16015625,44.4765625,4.66015625,0.54296875,1.10546875,1.23046875,2.66796875,5.68359375,0.8203125,4.86328125,0.8125,0.66796875,3.76953125,0.8007812499999999,0.09375,0.12890625,0.26953125,0.04296875,0.23046875,0.38671875,0.5859375
15,SAKB4,18.0,70.0,28.0,697.0,18.69,3.87,24.0859375,46.53515625,4.63671875,0.53125,1.21484375,1.2890625,2.52734375,5.234375,0.67578125,4.98046875,0.9570312500000001,0.7734375,3.9843749999999996,0.7851562499999999,0.140625,0.10546875,0.26171875,0.05078125,0.2890625,0.41015625,0.53125
16,SAKB5,18.0,70.0,28.0,697.0,18.69,3.87,21.97265625,49.0703125,5.140625,0.5078125,1.26953125,1.31640625,2.54296875,4.46484375,0.71875,4.796875,0.9570312500000001,0.62109375,3.9531249999999996,0.71875,0.1328125,0.10937500000000001,0.27734375,0.05078125,0.234375,0.46875,0.67578125
17,SAKB6,18.0,70.0,28.0,697.0,18.69,3.87,21.7421875,50.23046875,5.23828125,0.5390625,1.1328125,1.1484375,2.46484375,3.7968750000000004,0.65625,4.71484375,0.9609375,0.63671875,4.12109375,0.8046875,0.140625,0.13671875,0.32421875,0.0703125,0.21875000000000003,0.33203125,0.58984375
18,SAPN1,23.0,70.0,25.0,450.0,50.87,4.41,20.61328125,57.03515625,4.09375,0.921875,0.9609375,0.8125,2.3359375,2.375,1.6015624999999998,3.27734375,1.90625,0.37890625,1.5625,0.20703125,0.03515625,0.3046875,0.90234375,0.015625,0.2421875,0.10546875,0.3125
19,SAPN2,23.0,70.0,25.0,450.0,50.87,4.41,21.9765625,55.53125,3.9882812500000004,0.88671875,0.70703125,0.85546875,2.46484375,2.515625,2.09375,2.984375,1.8007812500000002,0.32421875,1.7031250000000002,0.23046875,0.027343750000000003,0.33984375,0.8203125,0.015625,0.26171875,0.10937500000000001,0.36328125
20,SAPN3,23.0,70.0,25.0,450.0,50.87,4.41,17.28125,59.96875000000001,4.09375,0.86328125,0.8203125,0.77734375,1.8984375000000002,2.93359375,1.23828125,4.078125,1.8789062499999998,0.39453125,1.6015624999999998,0.140625,0.01171875,0.31640625,0.93359375,0.015625,0.2890625,0.140625,0.32421875
21,SAPN4,23.0,70.0,25.0,450.0,50.87,4.41,20.390625,58.87890624999999,3.5078125,0.74609375,0.75390625,0.8984374999999999,2.17578125,2.3125,1.9609374999999998,2.92578125,1.6875,0.3046875,1.6484375,0.1640625,0.01953125,0.21875000000000003,0.71875,0.01953125,0.2734375,0.09375,0.30078125
22,SAPN5,23.0,70.0,25.0,450.0,50.87,4.41,14.7578125,64.71875,4.06640625,0.9296875,0.88671875,0.625,1.8476562500000002,2.11328125,1.19140625,3.32421875,1.72265625,0.30859375,1.33984375,0.1796875,0.0078125,0.35546875,0.91015625,0.01953125,0.1796875,0.171875,0.34375
23,SAPN6,23.0,70.0,25.0,450.0,50.87,4.41,21.6328125,57.484375,3.7890624999999996,0.8828124999999999,0.85546875,0.8125,2.1875,2.03125,1.8359375,2.6875,1.7421875,0.32421875,1.6835937499999998,0.24609375,0.0234375,0.33203125,0.734375,0.015625,0.3203125,0.0859375,0.29296875
24,SADP1,17.0,48.0,11.0,389.0,22.0,5.0,30.69921875,46.54296875,3.80859375,0.51953125,1.7890625,1.390625,1.42578125,3.4335937499999996,1.44921875,3.34765625,1.140625,0.42578125000000006,1.44140625,0.42968750000000006,0.09765625,0.375,0.33203125,0.01953125,0.44921874999999994,0.484375,0.3984375
25,SADP2,17.0,48.0,11.0,389.0,22.0,5.0,35.09765625,43.53125,3.21875,0.4609375,1.61328125,1.6328125,1.265625,3.1015625,1.16015625,3.61328125,1.1796875,0.390625,1.3984375,0.3984375,0.08984375,0.3671875,0.31640625,0.01171875,0.30859375,0.4609375,0.3828125
26,SADP3,17.0,48.0,11.0,389.0,22.0,5.0,35.015625,41.95703125,2.45703125,0.54296875,1.74609375,1.3125,1.66015625,3.19140625,1.66015625,4.03515625,1.54296875,0.5078125,1.79296875,0.52734375,0.08984375,0.41796875,0.484375,0.0,0.31640625,0.40234375,0.33984375
27,SADP4,17.0,48.0,11.0,389.0,22.0,5.0,36.37109375,42.07421875,2.19921875,0.5,1.3515625,1.32421875,1.578125,2.65234375,1.59765625,4.45703125,1.4921875,0.44140624999999994,1.6328125,0.55859375,0.08203125,0.359375,0.43359375000000006,0.0,0.25390625,0.33984375,0.30078125
28,SADP5,17.0,48.0,11.0,389.0,22.0,5.0,35.203125,42.125,2.8359375,0.8203125,1.55859375,1.51171875,1.55078125,2.5078125,1.6367187500000002,4.12890625,1.40625,0.50390625,1.421875,0.33203125,0.09375,0.42968750000000006,0.48828125,0.01171875,0.7578125,0.48046875,0.1953125
29,SADP6,17.0,48.0,11.0,389.0,22.0,5.0,33.0546875,44.3671875,2.9921875,0.87109375,1.42578125,1.6015624999999998,1.47265625,2.3203125,1.828125,3.83203125,1.328125,0.48046875,1.49609375,0.33203125,0.125,0.515625,0.44531249999999994,0.01953125,0.703125,0.51953125,0.26953125
30,SAZK1,17.0,48.0,20.0,496.0,23.0,5.0,39.4765625,19.84375,2.04296875,3.0703125,2.015625,4.01953125,2.1484375,3.28515625,8.43359375,4.42578125,0.734375,1.19140625,5.67578125,0.35546875,0.5390625,0.10937500000000001,0.42968750000000006,0.06640625,0.9492187500000001,1.03125,0.15625
31,SAZK2,17.0,48.0,20.0,496.0,23.0,5.0,36.76171875,20.82421875,2.52734375,3.6875,1.87109375,3.7421875,2.17578125,3.3203125,8.25,5.22265625,0.96875,0.9492187500000001,5.92578125,0.37109375,0.52734375,0.08984375,0.34375,0.07421875,1.109375,1.08203125,0.17578125
32,SAZK3,17.0,48.0,20.0,496.0,23.0,5.0,37.640625,20.25,2.59765625,3.75,1.578125,3.8906250000000004,2.2109375,3.61328125,7.425781250000001,5.5,0.86328125,1.05859375,5.953125,0.3984375,0.4609375,0.1015625,0.3046875,0.05468750000000001,1.10546875,1.06640625,0.17578125
33,SAZK4,17.0,48.0,20.0,496.0,23.0,5.0,31.570312499999996,35.23046875,2.44921875,0.9921875,1.578125,2.6015625,2.07421875,3.1328125,8.84375,4.0,0.9960937499999999,0.8359375,2.8671875,0.36328125,0.65234375,0.14453125,0.65625,0.15625,0.3515625,0.43750000000000006,0.06640625
34,SAZK5,17.0,48.0,20.0,496.0,23.0,5.0,31.570312499999996,36.265625,2.44140625,0.921875,1.44921875,2.421875,1.8164062500000002,2.79296875,8.93359375,3.64453125,1.01953125,0.8085937499999999,2.95703125,0.36328125,0.70703125,0.1796875,0.578125,0.16015625,0.37109375,0.51171875,0.0859375
35,SAZK6,17.0,48.0,20.0,496.0,23.0,5.0,31.21875,39.90234375,2.41796875,0.90234375,1.20703125,2.0,1.5625,2.703125,6.8984375,3.36328125,0.8007812499999999,0.86328125,3.4023437500000004,0.234375,0.703125,0.1484375,0.48828125,0.125,0.421875,0.58203125,0.05468750000000001
36,CNBJ1AA,28.1,195.0,,,,,32.12109375,32.2265625,2.42578125,0.51953125,1.4375,1.9960937500000002,0.9882812499999999,6.04296875,9.15625,2.40625,1.375,5.4609375,1.53125,1.23828125,0.0859375,0.0234375,0.34765625,0.015625,0.18359375,0.25390625,0.1640625
37,CNBJ1AB,28.1,195.0,,,,,32.11328125,31.03515625,2.921875,0.65234375,1.8789062499999998,2.01171875,1.34375,6.3359375,9.75,2.22265625,1.6328125,4.375,1.15625,1.2890625,0.10546875,0.05859375,0.43750000000000006,0.01171875,0.22265624999999997,0.25390625,0.19140625
38,CNBJ1AC,28.1,195.0,,,,,29.84765625,32.4296875,2.94140625,0.734375,1.58203125,2.3359375,1.296875,5.99609375,9.80078125,2.40625,1.6484375,5.22265625,1.33984375,1.3203125,0.140625,0.04296875,0.33984375,0.0234375,0.1953125,0.20703125,0.1484375
39,CNBJ1BA,28.1,195.0,,,,,36.87109375,26.34375,1.875,0.734375,1.75390625,2.33984375,1.453125,8.33984375,6.957031249999999,2.45703125,1.7656249999999998,4.6171875,2.41796875,0.66796875,0.23046875,0.04296875,0.45703125,0.0078125,0.0859375,0.2890625,0.29296875
40,CNBJ1BB,28.1,195.0,,,,,32.359375,30.9453125,2.6484375,0.7109375,1.6992187499999998,2.29296875,1.50390625,6.734374999999999,7.9296875,2.3984375,1.46875,4.84375,2.08984375,0.8203125,0.29296875,0.027343750000000003,0.5078125,0.015625,0.10546875,0.29296875,0.3125
41,CNBJ1BC,28.1,195.0,,,,,33.56640625,32.50390625,2.2265625,0.7109375,1.45703125,2.0703125,1.44140625,5.6796875,7.5625,2.3046875,1.45703125,4.59765625,1.9101562499999998,0.8359375,0.27734375,0.0390625,0.59375,0.01171875,0.11328124999999999,0.28515625,0.35546875
42,CNBJ1CA,28.1,195.0,,,,,36.99609375,27.8984375,1.46484375,0.5234375,1.98046875,2.91015625,1.1875,5.171875,6.273437499999999,2.65625,1.50390625,6.328125,3.29296875,0.19140625,0.234375,0.04296875,0.140625,0.0078125,0.015625,0.23046875,0.9492187500000001
43,CNBJ1CB,28.1,195.0,,,,,36.21875,28.628906250000004,1.57421875,0.6484375,1.8515625,2.88671875,0.9882812499999999,5.140625,5.66796875,2.3359375,1.2734375,6.22265625,4.63671875,0.1796875,0.22656249999999997,0.04296875,0.10546875,0.0,0.03515625,0.21875000000000003,1.1171875
44,CNBJ1CC,28.1,195.0,,,,,36.734375,30.074218749999996,1.6679687499999998,0.62109375,1.48046875,2.484375,1.06640625,4.69140625,6.73828125,2.03515625,1.2421875,4.8125,4.234375,0.1953125,0.32421875,0.027343750000000003,0.12109375,0.0078125,0.0234375,0.26953125,1.1484375
45,CNBJ2A,28.1,195.0,,550.0,,,28.08203125,30.05859375,5.4140625,0.65234375,1.33203125,3.375,2.51171875,8.3515625,4.08203125,3.80078125,1.15234375,4.7109375,3.5078125,0.59375,0.0625,0.11328124999999999,0.1953125,0.08984375,0.1953125,0.26953125,1.44921875
46,CNBJ2B,28.1,195.0,,550.0,,,25.5859375,33.625,5.19921875,0.7734375,1.19140625,3.44921875,2.94140625,7.2265625,5.08203125,3.390625,1.46484375,3.375,3.28515625,0.87109375,0.05859375,0.09375,0.24609375,0.15234375,0.22265624999999997,0.24609375,1.51953125
47,CNBJ2C,28.1,195.0,,550.0,,,24.609375,34.44921875,6.9609375,0.84375,0.9062499999999999,3.2421875000000004,3.3085937500000004,6.84765625,5.16015625,3.125,1.5078125,2.87890625,3.2265625,0.68359375,0.09375,0.1015625,0.16015625,0.1953125,0.33203125,0.2578125,1.109375
48,CNBJ3A,28.1,190.0,5.0,450.0,26.0,3.42,35.91796875,28.44140625,0.765625,1.203125,1.7109375,3.83984375,1.9140625000000002,7.3125,4.265625,2.38671875,1.05078125,5.33203125,3.109375,0.5546875,0.1328125,0.07421875,0.25390625,0.0,0.2421875,1.0,0.4921875
49,CNBJ3B,28.1,190.0,5.0,450.0,26.0,3.42,35.6484375,29.97265625,0.8007812499999999,1.08203125,1.23828125,3.58203125,1.8046875,7.160156249999999,4.37890625,2.4609375,1.1171875,4.37109375,3.6601562499999996,0.5,0.1875,0.0625,0.2109375,0.0,0.25,0.96875,0.54296875
50,CNBJ3C,28.1,190.0,5.0,450.0,26.0,3.42,34.734375,32.296875,0.7734375,1.0,1.34765625,3.44921875,1.5390625,7.06640625,5.08984375,1.6679687499999998,1.15234375,3.8671875,3.1796875,0.625,0.125,0.06640625,0.28125,0.0078125,0.140625,1.0625,0.52734375
51,CNBJ4A,28.1,190.0,12.3,450.0,,,29.1640625,35.78515625,5.53515625,2.4375,1.6015624999999998,1.51171875,1.6015624999999998,5.86328125,5.56640625,2.1484375,1.58984375,3.1796875,1.3671875,0.34375,0.3984375,0.03515625,0.140625,0.0078125,0.046875,0.30078125,1.375
52,CNBJ4B,28.1,190.0,12.3,450.0,,,31.73046875,31.4921875,4.453125,1.42578125,1.53515625,1.82421875,1.2421875,7.64453125,6.03125,2.3125,1.203125,4.70703125,2.02734375,0.31640625,0.36328125,0.027343750000000003,0.10937500000000001,0.0078125,0.05859375,0.44531249999999994,1.04296875
53,CNBJ4C,28.1,190.0,12.3,450.0,,,32.5546875,32.515625,4.35546875,2.21484375,1.6640625,1.6210937500000002,1.3203125,6.33984375,5.25,1.9101562499999998,1.26953125,4.38671875,1.37109375,0.375,0.43750000000000006,0.027343750000000003,0.140625,0.0078125,0.0390625,0.4140625,1.78515625
54,CNBJ5AA,28.1,190.0,10.0,200.0,25.0,3.0,35.6796875,17.94921875,3.48828125,0.59765625,1.08984375,3.7304687500000004,3.87890625,5.234375,5.6015625,5.97265625,1.05859375,3.5703125,8.453125,0.93359375,0.359375,0.20703125,0.1328125,0.1953125,0.04296875,0.85546875,0.96875
55,CNBJ5AB,28.1,190.0,10.0,200.0,25.0,3.0,34.46875,17.8828125,3.23046875,0.67578125,1.03515625,3.9570312500000004,3.84375,5.90625,5.5859375,5.95703125,1.140625,3.94921875,8.62109375,1.10546875,0.41015625,0.24609375,0.08984375,0.17578125,0.05468750000000001,0.9882812499999999,0.67578125
56,CNBJ5AC,28.1,190.0,10.0,200.0,25.0,3.0,35.9453125,17.96484375,3.21875,0.65625,1.1875,3.8554687499999996,3.64453125,5.59765625,5.48828125,6.16015625,1.05078125,3.5546875,7.79296875,1.0078125,0.3125,0.26171875,0.12890625,0.24609375,0.03125,0.921875,0.9726562500000001
57,CNBJ5BA,28.1,190.0,10.0,200.0,25.0,3.0,34.78515625,19.68359375,3.5000000000000004,0.5625,1.23046875,3.7578124999999996,3.7421875,5.8828125,4.26171875,6.01953125,0.87109375,3.8515625,8.265625,0.8515625000000001,0.33203125,0.1328125,0.09375,0.21875000000000003,0.03515625,0.9492187500000001,0.9726562500000001
58,CNBJ5BB,28.1,190.0,10.0,200.0,25.0,3.0,33.66015625,19.4453125,3.4140625,0.6171875,1.3046875,3.3828125,3.9179687499999996,5.70703125,4.44140625,5.9296875,1.0234375,4.4765625,9.25,0.85546875,0.33203125,0.09375,0.1171875,0.1875,0.04296875,0.88671875,0.9140625
59,CNBJ5BC,28.1,190.0,10.0,200.0,25.0,3.0,35.26953125,18.34765625,3.1640625,0.6796875,1.47265625,3.67578125,3.9531249999999996,5.75,4.71484375,5.84765625,0.953125,4.08203125,8.46875,0.9882812499999999,0.26171875,0.1484375,0.125,0.15234375,0.05468750000000001,0.9726562500000001,0.91796875
60,CNBJ6BA,28.1,190.0,10.0,350.0,30.0,6.5,45.09765625,19.58984375,3.39453125,1.08984375,2.265625,3.6796875,2.34765625,4.15234375,4.9453125,3.9179687499999996,0.71484375,2.4375,3.2421875000000004,0.40625,0.296875,0.05468750000000001,0.07421875,0.0,0.01953125,1.13671875,1.13671875
61,CNBJ6BB,28.1,190.0,10.0,350.0,30.0,6.5,43.9609375,24.625,1.22265625,0.3984375,2.0078125,4.30078125,1.8203125,3.83984375,4.76171875,4.52734375,1.01953125,2.26171875,3.15625,0.33203125,0.07421875,0.04296875,0.04296875,0.0078125,0.05468750000000001,0.421875,1.12109375
62,CNBJ6BC,28.1,190.0,10.0,350.0,30.0,6.5,49.27734375,23.921875,1.34375,0.52734375,1.5390625,3.77734375,1.65625,3.3359374999999996,4.33203125,3.2695312499999996,0.87109375,1.51953125,2.6171875,0.265625,0.08203125,0.046875,0.05078125,0.0,0.06640625,0.48828125,1.01171875
63,CNCD1A,25.32,240.0,16.0,200.0,35.0,3.0,29.16796875,27.597656250000004,4.61328125,0.5703125,2.79296875,1.7187500000000002,1.26953125,14.41015625,1.32421875,1.96484375,0.484375,10.33203125,1.6992187499999998,0.59375,0.08203125,0.05468750000000001,0.25390625,0.046875,0.15234375,0.3203125,0.55078125
64,CNCD1B,25.32,240.0,16.0,200.0,35.0,3.0,31.08984375,31.53515625,3.8984375,0.5,2.21484375,1.3984375,1.05859375,11.4921875,1.78515625,1.6992187499999998,0.71484375,8.4921875,1.9609374999999998,0.59375,0.08984375,0.10546875,0.25390625,0.0625,0.09375,0.4140625,0.546875
65,CNCD1C,25.32,240.0,16.0,200.0,35.0,3.0,32.90234375,30.26171875,4.01953125,0.5,2.53125,1.67578125,1.1953125,10.9921875,1.59765625,1.7968749999999998,0.69921875,7.515624999999999,1.921875,0.76171875,0.08984375,0.06640625,0.28515625,0.0703125,0.12890625,0.40625,0.58203125
66,CNCD2A,25.32,240.0,18.0,200.0,30.0,8.0,28.41015625,29.171875000000004,3.578125,1.5390625,3.3125,3.1796875,1.77734375,8.30078125,3.07421875,2.48828125,0.7421875,6.867187499999999,3.66796875,0.5546875,0.609375,0.046875,0.16796875,0.027343750000000003,0.55078125,0.5703125,1.36328125
67,CNCD2B,25.32,240.0,18.0,200.0,30.0,8.0,31.6640625,28.828125,3.26171875,1.59765625,2.73828125,2.875,1.546875,7.0390625,2.53125,2.40625,0.66796875,5.74609375,4.70703125,0.6953125,0.56640625,0.0703125,0.140625,0.05859375,0.30859375,0.78125,1.76953125
68,CNCD2C,25.32,240.0,18.0,200.0,30.0,8.0,31.351562500000004,28.000000000000004,3.3125,1.421875,3.21484375,2.765625,1.90625,6.796874999999999,4.2421875,2.640625,0.9453125,5.578125,3.44140625,0.8593750000000001,0.8007812499999999,0.06640625,0.22265624999999997,0.0234375,0.38671875,0.70703125,1.31640625
69,CNCD3A,25.32,240.0,26.0,150.0,12.0,2.4,25.34375,25.28515625,3.55859375,0.65625,2.25,2.171875,1.453125,18.6796875,1.421875,3.58203125,0.43750000000000006,7.38671875,5.01953125,0.75390625,0.16015625,0.03125,0.484375,0.08984375,0.09765625,0.78125,0.35546875
70,CNCD3B,25.32,240.0,26.0,150.0,12.0,2.4,25.5625,22.57421875,3.4296874999999996,0.65234375,2.3125,1.875,1.44140625,20.06640625,1.6328125,3.7226562499999996,0.4140625,8.578125,5.078125,0.75,0.078125,0.0625,0.375,0.0703125,0.0859375,0.7890625,0.44921874999999994
71,CNCD3C,25.32,240.0,26.0,150.0,12.0,2.4,23.98046875,23.41015625,3.5703125,0.59765625,2.44921875,2.421875,1.515625,20.98046875,1.15625,3.6015625000000004,0.48828125,8.5234375,4.796875,0.5859375,0.09375,0.0390625,0.3125,0.078125,0.11328124999999999,0.86328125,0.421875
72,CNCD4A,25.32,240.0,13.0,350.0,20.0,4.0,34.09765625,24.30078125,3.24609375,0.87890625,2.5234375,2.296875,1.7343750000000002,8.2734375,4.24609375,3.70703125,1.0,6.33203125,3.9921875000000004,0.484375,0.16015625,0.0625,0.1640625,0.1171875,0.1953125,0.921875,1.265625
73,CNCD4B,25.32,240.0,13.0,350.0,20.0,4.0,32.4453125,22.3359375,3.6914062499999996,0.796875,2.14453125,2.9375,1.6054687500000002,11.94921875,3.25,2.94140625,0.60546875,8.2265625,4.15234375,0.37890625,0.21875000000000003,0.046875,0.125,0.05078125,0.1640625,1.0234375,0.91015625
74,CNCD4C,25.32,240.0,13.0,350.0,20.0,4.0,30.56640625,24.95703125,3.3320312499999996,0.8671875000000001,1.98046875,2.55078125,1.65625,12.26171875,2.9609375,3.24609375,0.75390625,7.3125,4.31640625,0.3984375,0.1015625,0.1328125,0.09375,0.04296875,0.21875000000000003,0.9726562500000001,1.27734375
75,CNSH1A,27.39,138.0,9.0,462.0,40.0,7.5,42.76953125,34.86328125,1.35546875,0.73828125,1.109375,1.6367187500000002,1.15234375,1.3671875,6.703125,1.88671875,1.56640625,0.65625,1.34375,0.85546875,0.69140625,0.23828125,0.6171875,0.05078125,0.265625,0.08203125,0.05078125
76,CNSH1B,27.39,138.0,9.0,462.0,40.0,7.5,44.671875,32.94921875,1.421875,0.7109375,1.3671875,1.5859374999999998,1.27734375,1.6640625,5.484375,2.25390625,1.3515625,0.74609375,1.38671875,0.93359375,0.70703125,0.2578125,0.69140625,0.08203125,0.25,0.12890625,0.078125
77,CNSH1C,27.39,138.0,9.0,462.0,40.0,7.5,44.57421875,32.80078125,1.1953125,0.8671875000000001,1.1015625,1.65625,1.17578125,1.3984375,6.832031249999999,2.1796875,1.28125,0.8007812499999999,1.3125,0.765625,0.6796875,0.2734375,0.62890625,0.04296875,0.16796875,0.1953125,0.0703125
78,CNSH2A,27.39,138.0,13.4,320.0,30.0,5.0,43.046875,32.80078125,4.43359375,0.7851562499999999,1.15234375,0.75,2.265625,3.00390625,1.9921874999999998,1.8984375000000002,2.1796875,0.8359375,1.07421875,1.19921875,0.953125,0.44140624999999994,0.59375,0.140625,0.3203125,0.0703125,0.0625
79,CNSH2B,27.39,138.0,13.4,320.0,30.0,5.0,42.546875,32.85546875,4.578125,0.9453125,1.20703125,0.75390625,2.28515625,2.796875,2.0703125,2.05078125,2.19921875,0.88671875,1.21875,1.1484375,0.9492187500000001,0.38671875,0.5703125,0.12890625,0.2890625,0.06640625,0.06640625
80,CNSH2C,27.39,138.0,13.4,320.0,30.0,5.0,43.00390625,32.80078125,4.26171875,0.8906249999999999,1.21875,0.7265625,2.3125,2.93359375,1.83984375,1.94921875,2.15234375,0.8515625000000001,1.1640625,1.19921875,0.984375,0.42578125000000006,0.609375,0.18359375,0.33984375,0.08984375,0.0625
81,CNSH3A,27.39,138.0,,316.0,25.3,4.0,36.5703125,45.85546875,2.875,0.265625,1.15234375,0.34375,1.7109375,2.09375,1.140625,2.58984375,0.9765625,0.70703125,1.203125,1.453125,0.3203125,0.1015625,0.34375,0.125,0.0859375,0.06640625,0.01953125
82,CNSH3B,27.39,138.0,,316.0,25.3,4.0,36.1328125,46.51953125,2.77734375,0.35546875,0.9726562500000001,0.421875,1.828125,1.984375,1.51953125,1.6054687500000002,1.05859375,0.86328125,1.5703124999999998,1.3828125,0.30859375,0.1171875,0.29296875,0.09375,0.08203125,0.0703125,0.04296875
83,CNSH3C,27.39,138.0,,316.0,25.3,4.0,34.61328125,45.02734375,3.73828125,0.390625,1.078125,0.48046875,1.9960937500000002,2.6640625,1.57421875,1.6992187499999998,1.2109375,1.2890625,1.625,1.5,0.37109375,0.10546875,0.37109375,0.12109375,0.06640625,0.05859375,0.01953125
84,CNSH4A,27.39,138.0,10.0,160.0,11.1,3.6,43.05859375,33.6171875,2.2890625,0.37890625,1.23046875,0.76171875,2.0078125,2.53125,3.70703125,1.9765624999999998,1.83984375,1.90625,2.01171875,1.0625,0.796875,0.1796875,0.32421875,0.05468750000000001,0.12109375,0.06640625,0.078125
